y=931, x=455..475
x=422, y=1806..1819
y=450, x=387..395
y=1139, x=451..455
x=453, y=1472..1495
x=477, y=1816..1829
x=581, y=323..344
x=477, y=957..968
x=401, y=998..1013
y=1311, x=513..526
y=1200, x=453..470
x=437, y=422..429
x=585, y=1772..1786
x=492, y=236..245
y=1231, x=563..587
y=1723, x=537..539
y=1471, x=383..400
x=446, y=1728..1738
y=336, x=353..364
x=419, y=725..728
x=393, y=1293..1312
x=403, y=1913..1927
x=528, y=1206..1226
x=537, y=831..843
x=593, y=1067..1080
y=1649, x=512..517
y=1387, x=522..539
x=541, y=111..121
x=580, y=1419..1430
x=508, y=1025..1027
x=439, y=604..614
x=393, y=640..659
x=477, y=592..594
y=529, x=384..388
x=518, y=137..139
x=468, y=980..994
x=389, y=1890..1902
y=1981, x=417..420
x=435, y=1968..1970
x=435, y=1593..1604
x=530, y=641..643
x=402, y=386..412
x=492, y=1169..1179
x=394, y=580..591
x=587, y=1168..1185
x=566, y=662..668
x=588, y=75..99
x=387, y=803..808
x=381, y=1398..1411
x=584, y=1265..1286
y=1737, x=532..560
x=379, y=819..827
y=1794, x=454..463
y=1928, x=429..433
y=481, x=531..541
y=206, x=507..525
x=427, y=871..878
x=530, y=907..921
y=776, x=456..467
x=505, y=1184..1195
x=512, y=235..245
x=522, y=385..391
x=359, y=904..926
x=521, y=703..713
x=582, y=1747..1764
y=524, x=538..541
y=1486, x=397..401
x=542, y=487..496
x=559, y=1982..1990
x=418, y=895..898
x=462, y=1353..1367
y=641, x=469..471
y=239, x=565..585
y=512, x=570..580
y=846, x=420..446
y=1267, x=427..443
x=506, y=233..241
y=1581, x=435..458
x=483, y=813..819
x=518, y=200..202
y=1422, x=513..517
x=494, y=867..883
x=492, y=1720..1729
y=2008, x=349..369
x=529, y=1250..1267
y=121, x=521..541
x=444, y=1438..1461
x=354, y=489..491
x=390, y=1216..1218
x=469, y=623..641
y=652, x=399..404
y=1359, x=506..508
y=419, x=468..491
x=445, y=604..614
x=478, y=447..459
x=365, y=1298..1320
x=387, y=379..395
x=497, y=771..776
x=417, y=1956..1981
y=2021, x=529..543
x=464, y=550..552
x=458, y=1473..1495
x=466, y=1903..1917
x=364, y=328..336
x=434, y=1100..1127
x=374, y=413..416
x=501, y=979..995
y=1829, x=477..491
x=392, y=1911..1919
x=500, y=1025..1027
y=1124, x=442..444
x=547, y=1367..1374
x=437, y=727..736
x=427, y=913..940
x=510, y=296..309
y=612, x=379..400
x=425, y=1534..1537
y=560, x=503..508
x=389, y=1280..1290
x=538, y=1966..1988
x=584, y=841..849
x=557, y=1828..1834
x=450, y=1101..1127
x=511, y=1094..1114
y=986, x=557..562
y=1267, x=518..529
y=1471, x=419..422
y=1981, x=581..587
y=1122, x=564..571
x=353, y=1060..1082
y=1834, x=550..557
x=435, y=1254..1264
x=556, y=1815..1822
x=445, y=1080..1083
x=531, y=1098..1105
x=354, y=289..294
y=1378, x=354..361
x=422, y=237..252
y=1416, x=418..434
y=453, x=364..373
y=1034, x=445..449
x=506, y=749..763
x=375, y=1620..1622
y=1122, x=442..444
x=517, y=1538..1550
x=563, y=1222..1231
x=518, y=1431..1437
x=428, y=1590..1601
x=377, y=214..218
x=413, y=725..728
y=99, x=370..373
y=1919, x=392..394
y=899, x=396..398
y=64, x=361..386
y=670, x=530..534
x=587, y=1974..1981
x=415, y=1826..1838
x=551, y=721..733
x=352, y=1919..1947
x=444, y=355..368
x=414, y=505..521
y=898, x=418..429
x=496, y=489..500
x=580, y=765..778
y=895, x=356..368
y=1142, x=445..461
y=662, x=427..449
y=1344, x=424..466
x=372, y=1777..1783
x=478, y=350..376
x=491, y=8..21
x=485, y=1528..1548
x=436, y=577..592
y=1862, x=484..508
y=2010, x=573..576
x=496, y=295..309
x=407, y=1889..1902
y=1015, x=473..490
y=862, x=427..448
y=1369, x=398..422
x=527, y=1861..1862
x=391, y=1827..1838
x=358, y=1920..1947
x=419, y=999..1024
x=517, y=969..986
y=833, x=486..488
x=410, y=1505..1516
y=1468, x=391..394
y=844, x=351..377
x=568, y=1537..1547
y=1647, x=443..462
y=534, x=437..462
y=645, x=399..404
x=394, y=1911..1919
x=470, y=1172..1174
y=1878, x=378..382
y=1175, x=348..367
y=99, x=574..588
y=858, x=522..528
x=576, y=1962..1977
y=1666, x=428..456
x=489, y=1853..1856
y=634, x=360..367
x=492, y=1024..1036
y=1206, x=537..544
y=1432, x=448..475
x=491, y=690..702
x=419, y=1460..1471
y=1206, x=508..519
y=995, x=494..501
x=493, y=1223..1231
x=491, y=406..419
x=548, y=1474..1490
y=1446, x=584..588
y=173, x=411..435
y=344, x=482..486
x=507, y=1444..1449
x=413, y=1810..1816
y=1489, x=391..415
y=1388, x=486..510
x=518, y=215..225
x=579, y=1169..1185
x=400, y=1843..1853
x=544, y=793..804
y=1197, x=523..549
x=429, y=85..101
y=1349, x=525..541
x=489, y=1693..1709
x=414, y=1505..1516
x=393, y=2001..2002
x=491, y=2009..2018
x=537, y=598..609
x=527, y=528..540
x=412, y=1788..1797
x=379, y=602..612
y=1933, x=409..414
y=1068, x=422..429
y=860, x=402..413
x=391, y=1479..1489
x=446, y=835..846
x=480, y=1190..1205
x=484, y=1720..1729
y=493, x=503..507
x=451, y=1130..1139
x=404, y=813..815
x=361, y=1012..1037
x=425, y=371..396
x=571, y=1095..1122
x=435, y=1617..1620
y=569, x=378..399
y=1160, x=448..472
x=427, y=993..1000
x=417, y=1914..1925
y=1757, x=411..455
x=539, y=639..649
x=472, y=1151..1160
x=390, y=1420..1431
x=534, y=109..118
x=396, y=1204..1221
x=487, y=1279..1302
y=903, x=396..398
x=435, y=1572..1581
y=824, x=573..583
y=923, x=500..522
x=522, y=858..860
x=449, y=1767..1779
x=567, y=195..212
y=155, x=393..399
x=381, y=1178..1200
x=575, y=1887..1906
x=422, y=1067..1068
x=445, y=1133..1142
y=1307, x=423..463
x=541, y=702..713
x=449, y=379..392
y=631, x=360..367
x=373, y=438..453
x=378, y=549..569
x=435, y=1733..1735
x=455, y=1747..1757
x=537, y=1717..1723
x=455, y=927..931
x=542, y=1272..1280
x=425, y=441..469
y=1953, x=462..482
x=486, y=866..883
x=533, y=700..710
x=391, y=1057..1079
x=460, y=171..182
y=609, x=537..554
x=406, y=1688..1690
y=1749, x=478..488
x=382, y=239..265
x=390, y=888..909
y=702, x=491..503
x=526, y=1288..1311
y=438, x=475..493
x=586, y=680..687
y=1466, x=349..368
x=380, y=402..421
x=393, y=1333..1351
x=553, y=1103..1127
y=1264, x=435..437
x=348, y=176..188
x=463, y=1792..1794
y=1577, x=464..487
x=471, y=1068..1080
y=1537, x=425..427
x=416, y=1631..1642
y=480, x=464..471
y=1114, x=511..537
x=559, y=893..911
y=765, x=421..427
x=584, y=1072..1074
y=1778, x=397..418
x=360, y=631..634
x=534, y=1121..1148
y=880, x=509..524
x=437, y=645..655
y=1797, x=412..475
y=614, x=439..445
x=522, y=1401..1406
y=986, x=509..517
x=400, y=1887..1897
x=434, y=1393..1416
x=374, y=908..924
x=483, y=26..35
x=475, y=427..438
x=585, y=236..239
x=461, y=1112..1122
y=1348, x=409..492
x=521, y=112..121
y=2002, x=393..397
y=570, x=349..352
x=397, y=1484..1486
y=521, x=505..531
x=550, y=1827..1834
x=398, y=899..903
y=1226, x=523..528
x=351, y=1802..1817
x=543, y=853..863
x=497, y=726..737
x=367, y=631..634
x=418, y=619..630
y=1013, x=401..409
x=422, y=422..429
x=589, y=202..225
x=479, y=909..927
y=962, x=367..386
x=461, y=1132..1142
x=560, y=1587..1590
y=1461, x=439..444
y=1621, x=413..416
x=456, y=216..227
x=495, y=448..459
x=451, y=1172..1184
x=419, y=385..412
x=460, y=335..340
x=549, y=1759..1764
x=375, y=196..198
x=378, y=1964..1966
x=356, y=252..261
x=453, y=688..704
y=1188, x=427..444
y=1449, x=566..568
x=400, y=1461..1471
x=560, y=1714..1737
y=1272, x=462..464
x=440, y=549..552
y=704, x=426..453
x=476, y=860..872
x=448, y=1430..1432
x=383, y=970..996
x=542, y=1478..1480
y=1990, x=559..569
x=491, y=1853..1856
y=742, x=429..451
x=429, y=1066..1068
x=404, y=553..563
x=557, y=552..563
x=520, y=1003..1030
x=452, y=1710..1720
y=1968, x=582..590
x=376, y=461..467
y=756, x=487..498
x=471, y=1109..1117
x=439, y=1208..1215
y=1200, x=555..568
x=449, y=1018..1034
x=484, y=1021..1032
x=479, y=215..227
x=531, y=1994..1998
y=1302, x=467..487
x=512, y=327..330
y=787, x=384..388
x=485, y=1474..1488
y=1987, x=351..377
y=178, x=443..454
x=384, y=306..317
x=490, y=495..506
x=462, y=899..905
x=531, y=833..846
y=1623, x=428..443
y=1184, x=449..451
y=1139, x=409..436
x=510, y=813..819
x=462, y=1634..1647
y=957, x=446..461
x=352, y=552..570
y=687, x=586..591
x=509, y=180..182
x=497, y=1814..1826
x=461, y=1013..1033
x=488, y=445..455
x=388, y=784..787
x=416, y=1363..1365
x=506, y=770..779
y=1200, x=361..381
x=397, y=1767..1778
x=498, y=1505..1515
x=503, y=51..61
y=374, x=349..354
x=405, y=257..262
x=361, y=1178..1200
x=456, y=321..324
y=1826, x=497..512
y=1637, x=535..559
y=1783, x=372..375
x=471, y=459..480
y=1211, x=582..584
x=456, y=767..776
y=1969, x=365..384
x=475, y=1375..1382
x=486, y=960..972
x=466, y=1983..2002
x=553, y=317..327
y=116, x=459..466
x=503, y=690..702
x=562, y=146..169
y=607, x=463..489
x=517, y=490..500
y=804, x=524..544
y=142, x=511..530
x=524, y=871..880
x=554, y=1995..1998
x=550, y=1890..1902
x=571, y=1961..1977
x=559, y=598..603
x=562, y=486..496
x=395, y=713..716
x=388, y=520..529
x=482, y=1089..1101
x=482, y=332..344
y=1595, x=363..370
x=373, y=120..133
x=489, y=910..927
x=439, y=1505..1514
x=464, y=1153..1156
x=468, y=1672..1681
x=441, y=895..909
x=465, y=1768..1779
y=1998, x=531..554
x=423, y=1590..1601
y=718, x=370..377
x=513, y=531..543
x=571, y=1747..1764
x=533, y=1560..1563
y=1082, x=353..365
y=810, x=568..579
x=393, y=1649..1671
x=531, y=509..521
x=495, y=1003..1030
x=492, y=281..283
x=456, y=1631..1642
x=437, y=921..941
y=1479, x=495..504
y=594, x=471..477
x=482, y=412..414
x=500, y=893..895
x=590, y=1944..1968
x=467, y=767..776
x=413, y=1421..1431
x=499, y=177..187
x=455, y=1315..1327
x=565, y=415..429
x=427, y=1534..1537
x=407, y=1363..1365
y=725, x=413..419
x=567, y=101..115
x=508, y=1205..1206
x=493, y=428..438
x=569, y=1334..1339
x=482, y=1404..1411
x=416, y=1649..1671
y=392, x=443..449
x=521, y=1743..1757
y=1543, x=451..477
y=262, x=403..405
x=356, y=2017..2025
x=443, y=155..178
y=560, x=477..493
x=537, y=1201..1206
x=525, y=1580..1603
x=450, y=336..340
y=1273, x=547..554
x=466, y=97..116
x=358, y=1356..1358
x=386, y=1124..1142
x=541, y=521..524
x=551, y=743..755
x=441, y=1751..1754
x=451, y=994..1000
y=153, x=498..505
y=416, x=371..374
y=309, x=496..510
x=386, y=1251..1254
x=392, y=948..959
x=449, y=643..662
x=410, y=216..226
y=1720, x=365..389
y=1814, x=356..362
x=561, y=724..736
x=529, y=2008..2021
x=588, y=1888..1906
y=1734, x=398..418
y=1966, x=376..378
y=1920, x=544..564
y=1547, x=555..568
x=468, y=1232..1245
x=451, y=716..742
y=391, x=542..558
x=555, y=1538..1547
x=378, y=1866..1878
y=1590, x=553..560
x=583, y=820..824
x=562, y=1316..1319
x=377, y=716..718
y=344, x=556..581
x=487, y=425..432
x=422, y=1460..1471
y=1961, x=488..492
x=561, y=518..526
x=493, y=1563..1576
x=525, y=317..327
y=202, x=512..518
x=526, y=976..981
y=776, x=546..548
x=510, y=1183..1195
x=567, y=1691..1718
x=396, y=121..126
x=418, y=1768..1778
x=472, y=894..895
x=585, y=18..23
x=385, y=803..808
x=564, y=1095..1122
y=1534, x=425..427
y=1816, x=413..416
x=427, y=237..252
y=736, x=437..443
y=884, x=556..571
y=466, x=430..433
x=573, y=820..824
x=384, y=1957..1969
x=454, y=1826..1835
x=387, y=1338..1347
y=1238, x=359..367
x=370, y=859..861
x=445, y=1867..1892
y=1156, x=464..466
x=375, y=1124..1142
y=395, x=387..394
x=475, y=927..931
x=353, y=1561..1567
x=409, y=553..563
x=574, y=1204..1216
x=395, y=422..450
x=514, y=806..817
x=506, y=628..655
x=427, y=1053..1055
x=433, y=1211..1223
y=1437, x=498..518
x=478, y=66..76
y=1080, x=471..593
y=674, x=525..541
x=393, y=137..155
y=371, x=489..513
y=1703, x=445..468
y=1690, x=406..419
x=506, y=1405..1411
x=363, y=1570..1595
x=517, y=1627..1649
x=521, y=420..445
y=249, x=373..375
y=668, x=546..566
y=563, x=557..563
y=877, x=515..517
x=362, y=1812..1814
x=433, y=464..466
y=1701, x=572..575
y=843, x=537..540
y=1754, x=426..441
x=405, y=1726..1728
x=575, y=1072..1074
y=82, x=497..512
y=462, x=559..566
x=403, y=1424..1427
y=136, x=441..461
y=278, x=540..567
x=359, y=1228..1238
x=403, y=1283..1287
x=591, y=1988..1993
y=778, x=559..580
x=543, y=2009..2021
x=496, y=1371..1374
y=366, x=530..544
x=567, y=1391..1409
y=1575, x=447..449
y=543, x=540..563
y=337, x=571..573
y=1499, x=422..438
y=208, x=484..493
x=517, y=1414..1422
y=414, x=478..482
y=1792, x=454..463
y=100, x=513..515
x=375, y=249..260
x=382, y=1069..1074
y=1074, x=382..385
y=1452, x=550..574
x=384, y=784..787
x=381, y=1530..1540
y=133, x=358..373
x=471, y=495..506
y=981, x=521..526
x=453, y=1275..1285
x=477, y=1316..1327
x=573, y=145..169
y=1196, x=489..492
x=555, y=1186..1200
y=7, x=530..538
x=367, y=124..127
y=1563, x=527..533
y=1609, x=491..518
x=479, y=957..968
x=547, y=596..605
x=357, y=177..188
x=355, y=1996..2005
y=1484, x=561..563
x=464, y=460..480
x=546, y=1011..1036
x=491, y=1892..1919
y=459, x=478..495
x=525, y=194..206
y=1240, x=542..546
x=469, y=1631..1649
x=397, y=2000..2002
y=1728, x=405..409
y=728, x=413..419
y=1775, x=405..407
y=1213, x=582..584
x=352, y=20..23
x=569, y=1982..1990
x=412, y=639..659
x=367, y=947..962
x=351, y=832..844
y=1649, x=469..488
x=434, y=1145..1161
y=1113, x=384..396
y=1190, x=371..374
x=511, y=888..899
y=265, x=367..382
y=1055, x=427..450
x=401, y=1484..1486
y=1715, x=381..383
x=404, y=645..652
x=511, y=133..142
x=447, y=1549..1562
x=509, y=870..880
x=515, y=178..187
x=537, y=578..590
y=1105, x=529..531
y=808, x=385..387
x=370, y=716..718
x=581, y=495..496
x=492, y=76..81
x=441, y=442..469
x=385, y=1338..1347
x=515, y=420..445
x=451, y=356..368
y=1339, x=569..587
x=429, y=1925..1928
x=533, y=955..969
y=1430, x=570..580
x=484, y=185..208
x=427, y=642..662
x=566, y=1447..1449
x=574, y=74..99
y=1627, x=564..573
x=497, y=470..475
x=428, y=1611..1623
x=415, y=1479..1489
x=436, y=1275..1285
y=1223, x=433..453
y=1550, x=517..542
y=82, x=555..569
y=1810, x=413..416
x=378, y=490..491
y=1813, x=430..455
x=505, y=1891..1919
x=470, y=1188..1200
y=327, x=525..553
x=574, y=1505..1515
x=532, y=1713..1737
x=531, y=295..305
x=548, y=295..305
x=465, y=1605..1608
x=371, y=1250..1254
x=446, y=935..957
x=564, y=1611..1627
y=655, x=437..442
y=391, x=510..522
y=1382, x=459..475
x=367, y=2020..2029
x=409, y=1135..1139
y=1231, x=479..493
x=398, y=1377..1389
y=1216, x=574..590
x=436, y=1136..1139
y=736, x=541..561
y=630, x=418..445
x=504, y=468..478
x=413, y=1914..1925
x=499, y=567..591
x=420, y=836..846
y=1897, x=398..400
x=546, y=416..429
x=539, y=746..759
y=1285, x=492..494
y=1384, x=386..389
y=1881, x=407..425
x=407, y=1772..1775
y=1338, x=385..387
y=2020, x=431..440
x=445, y=619..630
y=2025, x=356..359
x=490, y=1005..1015
x=474, y=1602..1612
x=469, y=1109..1117
x=564, y=469..471
x=477, y=1111..1122
x=549, y=743..755
x=486, y=331..344
x=362, y=499..522
x=437, y=514..534
y=496, x=581..587
y=1364, x=501..517
x=472, y=780..784
x=369, y=1734..1757
x=500, y=320..333
x=416, y=1619..1621
x=494, y=470..475
x=544, y=102..115
x=519, y=1204..1206
x=572, y=203..225
x=459, y=1374..1382
x=541, y=1340..1349
x=377, y=660..665
x=549, y=834..846
x=409, y=1930..1933
x=466, y=682..684
x=519, y=638..649
x=373, y=75..99
y=996, x=359..383
y=1709, x=572..575
y=591, x=394..398
x=546, y=617..631
y=1671, x=393..416
y=948, x=486..567
x=488, y=1630..1649
y=1919, x=491..505
x=425, y=1728..1738
x=452, y=432..446
y=1059, x=480..579
x=510, y=1662..1674
y=1947, x=352..358
x=549, y=1184..1197
x=374, y=1938..1949
x=400, y=1399..1411
x=528, y=1122..1148
y=522, x=362..364
y=1895, x=372..379
y=261, x=354..356
x=393, y=1396..1408
y=1603, x=521..525
x=473, y=171..182
x=349, y=553..570
x=405, y=1772..1775
x=456, y=1655..1666
y=1079, x=375..391
x=532, y=1607..1619
x=376, y=1964..1966
y=878, x=404..427
y=115, x=544..567
y=1605, x=465..467
x=484, y=1848..1862
y=1838, x=391..415
y=1927, x=387..403
y=760, x=402..407
y=495, x=503..507
x=482, y=1002..1011
y=169, x=562..573
x=394, y=1459..1468
y=429, x=546..565
y=994, x=468..488
x=418, y=1712..1734
y=1083, x=442..445
x=394, y=774..790
x=533, y=815..824
y=1032, x=480..484
y=1899, x=372..379
x=556, y=323..344
y=1365, x=407..416
x=371, y=286..306
x=568, y=1759..1764
x=562, y=892..911
x=433, y=1925..1928
x=402, y=740..760
x=491, y=1600..1609
x=582, y=18..23
x=432, y=921..941
x=458, y=1571..1581
x=353, y=329..336
x=518, y=806..817
x=468, y=896..909
x=349, y=1999..2008
x=464, y=1554..1577
y=1033, x=461..467
y=940, x=423..427
x=398, y=1713..1734
y=1341, x=424..466
x=413, y=853..860
y=1449, x=483..507
x=490, y=1562..1576
y=776, x=494..497
y=774, x=566..570
y=1036, x=475..492
x=535, y=1633..1637
x=542, y=1967..1988
x=402, y=1739..1749
x=381, y=377..382
x=542, y=1215..1240
x=504, y=1372..1374
x=480, y=1045..1059
y=2002, x=466..490
y=469, x=425..441
y=1779, x=575..578
x=407, y=1845..1857
x=463, y=1296..1307
y=1782, x=575..578
x=367, y=1229..1238
x=367, y=1471..1473
y=1904, x=366..386
x=536, y=1425..1427
x=405, y=1563..1587
x=431, y=2006..2020
x=530, y=1787..1791
x=410, y=1899..1904
x=366, y=1891..1904
x=486, y=1354..1367
y=1856, x=489..491
x=426, y=1440..1454
x=423, y=1912..1931
y=840, x=472..494
x=487, y=1554..1577
x=421, y=752..765
x=409, y=1726..1728
y=1290, x=385..389
y=101, x=413..429
y=1601, x=423..428
y=827, x=361..379
y=1368, x=349..365
x=389, y=1846..1857
x=591, y=679..687
y=1320, x=351..365
x=559, y=939..941
y=1127, x=434..450
y=1058, x=409..422
x=347, y=2019..2029
x=495, y=653..657
y=837, x=486..488
x=428, y=1462..1474
x=349, y=624..642
x=510, y=1380..1388
x=486, y=1379..1388
x=356, y=871..895
x=505, y=140..153
y=1925, x=413..417
x=421, y=1630..1642
x=459, y=96..116
x=381, y=213..218
x=501, y=1337..1364
x=503, y=1932..1955
x=454, y=156..178
y=159, x=465..489
y=148, x=423..444
x=509, y=577..590
x=543, y=596..605
x=511, y=1400..1406
x=465, y=135..159
x=430, y=1811..1813
x=389, y=1705..1720
x=494, y=829..840
y=1619, x=529..532
y=478, x=488..504
x=564, y=1392..1409
y=631, x=529..546
x=575, y=1701..1709
x=489, y=1194..1196
y=305, x=531..548
x=369, y=1024..1051
x=450, y=1053..1055
x=408, y=1238..1248
x=569, y=196..212
y=1881, x=372..389
x=437, y=1617..1620
x=542, y=1538..1550
y=1000, x=427..451
x=541, y=660..674
y=765, x=382..386
x=512, y=1626..1649
x=584, y=1211..1213
y=1681, x=465..468
y=605, x=543..547
x=426, y=167..169
x=456, y=1674..1685
x=514, y=1722..1730
x=358, y=121..133
x=571, y=878..884
x=575, y=609..623
x=444, y=1182..1188
x=422, y=1053..1058
x=489, y=586..607
y=2018, x=491..502
x=568, y=785..810
y=1030, x=495..520
x=524, y=1010..1036
x=428, y=1900..1904
x=422, y=1508..1519
x=570, y=504..512
y=266, x=386..411
x=478, y=1741..1749
x=364, y=1621..1622
y=1374, x=547..568
y=225, x=494..518
y=725, x=363..383
x=538, y=522..524
y=824, x=533..556
x=523, y=137..139
x=475, y=1023..1036
x=463, y=586..607
x=535, y=341..351
y=1480, x=537..542
x=421, y=467..483
y=1197, x=460..463
y=763, x=506..518
y=1221, x=380..396
x=462, y=1932..1953
x=538, y=4..7
y=207, x=369..385
x=495, y=281..283
x=527, y=109..118
x=481, y=26..35
x=433, y=1531..1540
y=241, x=503..506
x=398, y=579..591
x=502, y=1212..1221
x=447, y=280..288
x=509, y=627..655
x=454, y=1506..1514
y=1717, x=381..383
x=529, y=618..631
x=582, y=1211..1213
y=1148, x=528..534
y=182, x=460..473
x=423, y=145..148
x=400, y=1938..1949
y=1051, x=369..392
x=368, y=773..790
y=1752, x=509..512
x=554, y=767..781
x=384, y=684..702
x=354, y=1373..1378
y=1730, x=514..526
x=529, y=1606..1619
x=505, y=93..103
y=160, x=355..364
y=1642, x=454..456
x=555, y=721..733
x=349, y=1342..1368
x=587, y=1221..1231
y=759, x=539..557
x=523, y=1786..1791
x=422, y=1486..1499
y=413, x=371..374
x=412, y=505..521
x=482, y=1932..1953
y=1567, x=353..373
x=461, y=934..957
x=581, y=1974..1981
x=527, y=152..166
x=480, y=66..76
x=555, y=1860..1862
x=416, y=1810..1816
x=484, y=254..264
x=575, y=1779..1782
y=1551, x=438..440
x=508, y=1354..1359
x=356, y=1812..1814
x=349, y=270..272
y=1608, x=465..467
x=479, y=1223..1231
y=355, x=504..522
y=1904, x=410..428
y=1287, x=395..403
x=448, y=816..818
x=526, y=1273..1280
x=442, y=1081..1083
x=576, y=1988..2010
y=899, x=511..552
y=1447, x=566..568
x=430, y=370..396
x=365, y=1704..1720
x=504, y=345..355
y=223, x=428..430
x=559, y=1634..1637
y=1757, x=359..369
y=921, x=530..533
x=489, y=726..737
y=1451, x=405..411
x=375, y=1778..1783
x=504, y=1464..1479
y=35, x=481..483
x=513, y=1287..1311
y=1101, x=463..482
y=226, x=410..437
x=391, y=1396..1408
x=587, y=1692..1718
x=517, y=853..863
y=1718, x=567..587
y=139, x=518..523
y=566, x=524..544
x=484, y=1002..1011
x=401, y=1424..1427
y=924, x=374..383
x=527, y=641..643
y=1319, x=550..562
y=324, x=410..429
y=1150, x=497..513
x=480, y=1903..1917
y=623, x=567..575
x=365, y=124..127
x=484, y=1172..1174
x=488, y=467..478
x=427, y=19..27
y=1572, x=522..539
y=1178, x=391..406
y=1853, x=489..491
x=442, y=1122..1124
x=372, y=1822..1850
x=530, y=3..7
x=413, y=84..101
x=522, y=910..923
y=340, x=450..460
x=455, y=1603..1612
y=182, x=506..509
x=371, y=413..416
y=471, x=560..564
x=512, y=200..202
x=537, y=1478..1480
y=166, x=509..527
x=409, y=1339..1348
x=554, y=1482..1504
y=592, x=410..436
y=863, x=517..543
x=493, y=184..208
x=438, y=1551..1555
x=489, y=360..371
y=1037, x=354..361
x=546, y=661..668
x=465, y=802..822
y=1495, x=453..458
